Name=Paul
Max HRT=177
V02=160
Anaerobic=142
Aerobic=124
Fat Burn=106
Warm Up=89
start_time=1382748778
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0.000,65,0,65,72,65
2,0.246,65,0,65,72,65
3,0.493,65,0,65,72,65
4,0.739,65,0,65,72,65
5,0.985,65,0,65,72,65
6,1.231,65,0,65,72,65
7,1.478,65,0,65,72,65
8,1.724,65,0,65,72,65
9,1.970,65,0,65,72,65
10,2.216,65,0,65,72,65
11,2.463,65,0,65,72,65
12,2.709,65,0,65,72,65
13,2.955,65,0,65,72,65
14,3.201,65,0,65,72,65
15,3.449,65,0,65,72,65
16,3.695,65,0,65,72,65
17,3.941,65,0,65,72,65
18,4.187,65,0,65,72,65
19,4.433,65,0,65,72,65
20,4.680,65,0,65,72,65
21,4.926,65,0,65,72,65
22,5.172,65,0,65,72,65
23,5.419,65,0,65,72,65
24,5.665,65,0,65,72,65
25,5.911,65,0,65,72,65
26,6.158,65,0,65,72,65
27,6.404,65,0,65,72,65
28,6.650,65,0,65,72,65
29,6.896,65,0,65,72,65
30,7.143,65,0,65,72,65
31,7.389,65,0,65,72,65
32,7.635,65,0,65,72,65
33,7.881,65,0,65,72,65
34,8.127,65,0,65,72,65
35,8.374,65,0,65,72,65
36,8.620,65,0,65,72,65
37,8.866,65,0,65,72,65
38,9.113,65,0,65,72,65
39,9.359,65,0,65,72,65
40,9.605,65,0,65,72,65
41,9.851,65,0,65,72,65
42,10.098,65,0,65,72,65
43,10.344,65,0,65,72,65
44,10.590,65,0,65,72,65
45,10.836,65,0,65,72,65
46,11.083,64,0,64,72,64
47,11.329,64,0,64,72,64
48,11.575,64,0,64,72,64
49,11.821,64,0,64,72,64
50,12.068,64,0,64,72,64
51,12.314,64,0,64,72,64
52,12.560,64,0,64,72,64
53,12.807,64,0,64,72,64
54,13.053,64,0,64,72,64
55,13.299,64,0,64,72,64
56,13.545,64,0,64,72,64
57,13.792,64,0,64,72,64
58,14.038,64,0,64,72,64
59,14.284,64,0,64,72,64
60,14.530,64,0,64,72,64
61,14.777,64,0,64,72,64
62,15.023,64,0,64,72,64
63,15.269,64,0,64,72,64
64,15.515,64,1,64,72,64
65,15.762,64,1,64,72,64
66,16.008,64,1,64,72,64
67,16.254,64,1,64,72,64
68,16.500,64,1,64,72,64
69,16.747,64,1,64,72,64
70,16.993,64,1,64,72,64
71,17.239,64,1,64,72,64
72,17.485,64,1,64,72,64
73,17.732,64,1,64,72,64
74,17.978,64,1,64,72,64
75,18.224,64,1,64,72,64
76,18.470,64,1,64,72,64
77,18.717,64,1,64,72,64
78,18.963,64,1,64,72,64
79,19.209,64,1,64,72,64
80,19.455,64,1,64,72,64
81,19.702,64,1,64,72,64
82,19.948,64,1,64,72,64
83,20.194,64,1,64,72,64
84,20.440,64,1,64,72,64
85,20.687,64,1,64,72,64
86,20.934,64,1,64,72,64
87,21.180,64,1,64,72,64
88,21.427,64,1,64,72,64
89,21.673,64,1,64,72,64
90,21.919,64,1,64,72,64
91,22.165,64,1,64,72,64
92,22.412,64,1,64,72,64
93,22.657,64,1,64,72,64
94,22.904,64,1,64,72,64
95,23.150,64,1,64,72,64
96,23.397,64,1,64,72,64
97,23.643,64,1,64,72,64
98,23.889,64,1,64,72,64
99,24.135,64,1,64,72,64
100,24.382,64,1,64,72,64
101,24.628,64,1,64,72,64
102,24.874,64,1,64,72,64
103,25.120,64,1,64,72,64
104,25.367,64,1,64,72,64
105,25.613,64,1,64,72,64
106,25.859,64,1,64,72,64
107,26.106,64,1,64,72,64
108,26.352,64,1,64,72,64
109,26.598,64,1,64,72,64
110,26.844,64,1,64,72,64
111,27.091,64,1,64,72,64
112,27.337,64,1,64,72,64
