Name=Paul
Max HRT=177
V02=160
Anaerobic=142
Aerobic=124
Fat Burn=106
Warm Up=89
start_time=1382910863
Reading,Time(s),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0.000,59,0,59,59,53
2,0.247,59,0,59,59,53
3,0.493,59,0,59,59,53
4,0.739,59,0,59,59,53
5,0.985,60,0,59,60,53
6,1.232,60,0,59,60,53
7,1.478,60,0,59,60,53
8,1.724,62,0,59,62,53
9,1.970,62,0,60,62,53
10,2.217,62,0,60,62,53
11,2.463,62,0,60,62,53
12,2.709,62,0,60,62,53
13,2.955,62,0,60,62,53
14,3.202,62,0,60,62,53
15,3.448,63,0,60,63,53
16,3.694,63,0,61,63,53
17,3.940,63,0,61,63,53
18,4.187,63,0,61,63,53
19,4.433,64,0,61,64,53
20,4.679,64,0,61,64,53
21,4.925,64,0,61,64,53
22,5.172,64,0,61,64,53
23,5.419,64,0,61,64,53
24,5.665,64,0,61,64,53
25,5.912,64,0,62,64,53
26,6.158,64,0,62,64,53
27,6.404,64,0,62,64,53
28,6.650,64,0,62,64,53
29,7.460,64,0,62,64,53
30,7.467,64,0,62,64,53
31,7.476,64,0,62,64,53
32,7.635,64,0,62,64,53
33,7.881,64,0,62,64,53
34,8.128,64,0,62,64,53
35,8.374,64,0,62,64,53
36,8.620,64,0,62,64,53
37,8.867,64,0,62,64,53
38,9.112,64,0,62,64,53
39,9.359,64,0,62,64,53
40,9.605,64,0,62,64,53
41,9.852,64,0,62,64,53
42,10.098,64,0,62,64,53
43,10.344,64,0,62,64,53
44,10.590,64,0,62,64,53
45,10.837,65,0,62,65,53
46,11.083,65,0,62,65,53
47,11.329,65,0,63,65,53
48,11.575,65,0,63,65,53
49,11.822,65,0,63,65,53
50,12.068,65,0,63,65,53
51,12.314,65,0,63,65,53
52,12.560,66,0,63,66,53
53,12.807,66,0,63,66,53
54,13.053,66,0,63,66,53
55,13.299,66,0,63,66,53
56,13.545,66,0,63,66,53
57,13.792,66,0,63,66,53
58,14.038,66,0,63,66,53
59,14.284,66,0,63,66,53
60,14.530,66,0,63,66,53
61,14.777,66,0,63,66,53
62,15.023,66,0,63,66,53
63,15.269,66,0,63,66,53
64,15.515,66,0,63,66,53
65,15.762,66,0,63,66,53
66,16.008,66,0,63,66,53
67,16.254,65,0,63,66,53
68,16.500,65,1,63,66,53
69,16.747,65,1,63,66,53
70,16.993,65,1,63,66,53
71,17.239,65,1,63,66,53
72,17.485,64,1,63,66,53
73,17.732,64,1,63,66,53
74,17.978,64,1,63,66,53
75,18.224,64,1,63,66,53
76,18.471,63,1,63,66,53
77,18.716,63,1,63,66,53
78,18.963,63,1,63,66,53
79,19.209,63,1,63,66,53
80,19.456,63,1,63,66,53
81,19.702,63,1,63,66,53
82,19.948,63,1,63,66,53
83,20.194,63,1,63,66,53
84,20.441,62,1,63,66,53
85,20.687,62,1,63,66,53
86,20.933,62,1,63,66,53
87,21.179,62,1,63,66,53
88,21.426,63,1,63,66,53
89,21.671,63,1,63,66,53
90,21.918,63,1,63,66,53
91,22.164,63,1,63,66,53
92,22.411,63,1,63,66,53
93,22.657,63,1,63,66,53
94,22.904,63,1,63,66,53
95,23.150,63,1,63,66,53
96,23.397,64,1,63,66,53
97,23.643,64,1,63,66,53
98,23.889,65,1,63,66,53
99,24.135,65,1,63,66,53
100,24.381,65,1,63,66,53
101,24.628,67,1,63,67,53
102,24.874,67,1,63,67,53
103,25.120,67,1,63,67,53
104,25.367,68,1,63,68,53
105,25.613,68,1,63,68,53
106,25.859,68,1,63,68,53
107,26.105,70,1,63,70,53
108,26.351,70,1,64,70,53
109,26.598,70,1,64,70,53
110,26.844,71,1,64,71,53
111,27.090,71,1,64,71,53
112,27.337,71,1,64,71,53
113,27.583,71,1,64,71,53
114,27.829,72,1,64,72,53
115,28.076,72,1,64,72,53
116,28.322,72,1,64,72,53
117,28.568,72,1,64,72,53
118,28.814,72,1,64,72,53
119,29.061,73,1,64,73,53
120,29.307,73,1,64,73,53
121,29.553,73,1,64,73,53
122,29.799,73,1,64,73,53
123,30.045,73,1,65,73,53
124,30.292,74,1,65,74,53
125,30.538,74,1,65,74,53
126,30.784,74,1,65,74,53
127,31.030,74,1,65,74,53
128,31.276,74,1,65,74,53
129,31.523,74,1,65,74,53
130,31.769,74,1,65,74,53
131,32.015,74,1,65,74,53
132,32.262,74,1,65,74,53
133,32.508,74,1,65,74,53
134,45.807,77,2,65,78,53
135,46.053,78,2,65,78,53
136,46.300,78,2,65,78,53
137,46.546,78,2,66,78,53
138,46.792,78,2,66,78,53
139,47.038,78,2,66,78,53
140,47.285,78,2,66,78,53
141,47.531,78,2,66,78,53
142,47.777,78,2,66,78,53
143,48.023,78,2,66,78,53
144,48.270,78,2,66,78,53
145,48.516,78,2,66,78,53
146,48.762,78,2,66,78,53
147,49.008,78,2,66,78,53
148,49.255,78,2,66,78,53
149,49.501,78,2,66,78,53
150,49.747,78,2,67,78,53
151,49.993,78,2,67,78,53
152,50.240,78,2,67,78,53
153,50.486,78,2,67,78,53
154,50.732,78,2,67,78,53
155,50.979,78,2,67,78,53
156,51.225,78,2,67,78,53
157,51.471,77,2,67,78,53
158,51.717,77,2,67,78,53
159,51.964,77,2,67,78,53
160,52.210,77,2,67,78,53
161,52.456,76,2,67,78,53
162,52.702,76,2,67,78,53
163,52.949,76,2,67,78,53
164,53.195,74,2,67,78,53
165,53.441,74,2,67,78,53
166,53.687,74,2,67,78,53
167,53.934,74,2,68,78,53
168,54.180,74,2,68,78,53
169,54.426,74,3,68,78,53
170,54.672,74,3,68,78,53
171,54.919,74,3,68,78,53
172,55.165,74,3,68,78,53
173,55.411,74,3,68,78,53
174,55.657,74,3,68,78,53
175,55.904,74,3,68,78,53
176,56.150,74,3,68,78,53
177,56.396,74,3,68,78,53
178,56.642,74,3,68,78,53
179,56.889,74,3,68,78,53
180,57.135,74,3,68,78,53
181,57.381,73,3,68,78,53
182,57.627,73,3,68,78,53
183,57.875,73,3,68,78,53
184,58.121,73,3,68,78,53
185,58.367,73,3,68,78,53
186,58.613,73,3,68,78,53
187,58.860,73,3,68,78,53
188,59.106,73,3,68,78,53
189,59.352,73,3,68,78,53
190,59.599,73,3,68,78,53
191,59.845,73,3,68,78,53
192,60.091,73,3,68,78,53
193,60.337,73,3,68,78,53
194,60.584,73,3,68,78,53
195,60.830,72,3,68,78,53
196,61.076,72,3,68,78,53
197,61.322,72,3,68,78,53
198,61.569,72,3,68,78,53
199,61.815,72,3,68,78,53
200,62.061,72,3,68,78,53
201,62.307,72,3,68,78,53
202,62.554,72,3,68,78,53
203,62.800,72,3,68,78,53
204,63.046,72,3,68,78,53
205,63.292,72,3,68,78,53
206,63.539,71,3,68,78,53
207,63.785,71,3,68,78,53
208,64.031,71,3,68,78,53
209,64.277,70,3,68,78,53
210,64.524,70,3,68,78,53
211,64.770,70,3,69,78,53
212,65.016,70,3,69,78,53
213,65.262,69,3,69,78,53
214,65.509,69,3,69,78,53
215,65.755,69,3,69,78,53
216,66.001,69,3,69,78,53
217,66.248,69,3,69,78,53
218,66.494,69,3,69,78,53
219,66.740,69,3,69,78,53
220,66.986,68,3,69,78,53
221,67.233,68,3,68,78,53
222,67.479,68,3,68,78,53
223,67.725,68,3,68,78,53
224,67.971,68,3,68,78,53
225,68.218,68,3,68,78,53
226,68.464,68,3,68,78,53
227,68.710,68,3,68,78,53
228,68.956,68,3,68,78,53
229,69.202,68,3,68,78,53
230,69.449,68,3,68,78,53
231,69.695,68,3,68,78,53
232,69.941,68,3,68,78,53
233,70.188,68,3,68,78,53
234,70.434,69,3,68,78,53
235,70.680,69,3,68,78,53
236,70.926,69,3,68,78,53
237,71.173,69,3,68,78,53
238,71.419,69,3,68,78,53
239,71.665,69,3,68,78,53
240,71.911,69,3,68,78,53
241,72.158,69,3,68,78,53
242,72.404,69,3,68,78,53
243,72.650,69,3,68,78,53
244,72.896,69,3,68,78,53
245,73.143,69,3,68,78,53
246,73.389,69,3,68,78,53
247,73.635,69,3,68,78,53
248,73.881,69,3,68,78,53
249,74.128,69,3,68,78,53
250,74.374,69,3,68,78,53
251,74.620,69,3,68,78,53
252,74.866,69,3,68,78,53
253,75.113,69,3,68,78,53
254,75.360,69,3,68,78,53
255,75.606,69,4,68,78,53
256,75.853,68,4,68,78,53
257,76.099,68,4,68,78,53
258,76.345,68,4,68,78,53
259,76.591,68,4,68,78,53
260,76.838,67,4,68,78,53
261,77.084,67,4,68,78,53
262,77.330,67,4,68,78,53
263,77.576,67,4,68,78,53
264,77.823,65,4,68,78,53
265,78.069,65,4,68,78,53
266,78.315,65,4,68,78,53
267,78.561,65,4,68,78,53
268,78.808,65,4,68,78,53
269,79.054,64,4,68,78,53
270,79.300,64,4,68,78,53
271,79.546,64,4,68,78,53
272,79.793,64,4,68,78,53
273,80.039,64,4,68,78,53
274,80.285,64,4,68,78,53
275,80.531,64,4,68,78,53
276,80.778,64,4,68,78,53
277,81.024,64,4,68,78,53
278,81.270,64,4,68,78,53
279,81.516,64,4,68,78,53
280,81.763,63,4,68,78,53
281,82.009,63,4,68,78,53
282,82.255,63,4,68,78,53
283,82.501,63,4,68,78,53
284,82.748,63,4,68,78,53
285,82.994,63,4,68,78,53
286,83.240,63,4,68,78,53
287,83.487,63,4,68,78,53
288,83.733,63,4,68,78,53
289,83.979,62,4,68,78,53
290,84.225,62,4,68,78,53
291,84.472,62,4,68,78,53
292,84.718,62,4,68,78,53
293,84.964,62,4,68,78,53
294,85.210,62,4,68,78,53
295,85.457,62,4,68,78,53
296,85.703,62,4,68,78,53
297,85.949,62,4,68,78,53
298,86.195,62,4,68,78,53
299,86.442,62,4,68,78,53
300,86.688,62,4,68,78,53
301,86.934,62,4,68,78,53
302,87.180,62,4,68,78,53
303,87.427,62,4,68,78,53
304,87.673,62,4,68,78,53
305,87.919,61,4,68,78,53
306,88.165,61,4,68,78,53
307,88.412,61,4,68,78,53
308,88.658,61,4,68,78,53
309,88.904,60,4,68,78,53
310,89.150,60,4,67,78,53
311,89.397,60,4,67,78,53
312,89.643,60,4,67,78,53
313,89.889,60,4,67,78,53
314,90.135,60,4,67,78,53
315,90.382,60,4,67,78,53
316,90.628,60,4,67,78,53
317,90.874,60,4,67,78,53
318,91.121,59,4,67,78,53
319,91.367,59,4,67,78,53
320,91.613,59,4,67,78,53
321,91.859,59,4,67,78,53
322,92.105,59,4,67,78,53
323,92.352,59,4,67,78,53
324,92.598,59,4,67,78,53
325,92.845,59,4,67,78,53
326,93.092,59,4,67,78,53
327,93.338,59,4,67,78,53
328,93.584,59,4,67,78,53
329,93.830,59,4,67,78,53
330,94.076,59,4,67,78,53
331,94.323,59,4,67,78,53
332,94.569,59,4,67,78,53
333,94.815,59,4,67,78,53
334,95.061,59,4,67,78,53
335,95.308,59,4,67,78,53
336,95.554,59,4,67,78,53
337,95.800,59,4,67,78,53
338,96.047,59,4,67,78,53
339,96.293,59,4,67,78,53
340,96.539,59,4,67,78,53
341,96.785,59,4,67,78,53
342,97.032,59,4,67,78,53
343,97.278,59,4,67,78,53
344,97.524,59,4,67,78,53
345,97.770,59,4,67,78,53
346,98.017,59,4,67,78,53
347,98.263,58,4,67,78,53
348,98.509,58,4,67,78,53
349,98.755,58,4,66,78,53
350,99.002,58,4,66,78,53
351,99.248,59,4,66,78,53
352,99.494,59,4,66,78,53
353,99.740,59,4,66,78,53
354,99.987,59,4,66,78,53
355,100.233,59,4,66,78,53
356,100.479,58,4,66,78,53
357,100.726,58,4,66,78,53
358,100.972,58,4,66,78,53
359,101.218,58,4,66,78,53
360,101.464,57,4,66,78,53
361,101.710,57,4,66,78,53
362,101.957,57,4,66,78,53
363,102.203,57,4,66,78,53
364,102.449,57,4,66,78,53
365,102.696,57,4,66,78,53
366,102.942,57,4,66,78,53
367,103.188,57,4,66,78,53
368,103.434,57,4,66,78,53
369,103.681,57,4,66,78,53
370,103.927,57,4,66,78,53
371,104.173,57,4,66,78,53
372,104.419,57,4,66,78,53
373,104.666,57,4,66,78,53
374,104.912,57,4,66,78,53
375,105.158,57,4,66,78,53
376,105.404,57,4,66,78,53
377,105.651,57,4,66,78,53
378,105.897,57,4,66,78,53
379,106.143,57,4,66,78,53
380,106.389,57,4,66,78,53
381,106.636,57,4,66,78,53
382,106.882,57,4,66,78,53
383,107.128,57,4,66,78,53
384,107.374,57,4,66,78,53
385,107.621,57,4,66,78,53
386,107.867,57,4,66,78,53
387,108.113,57,4,66,78,53
388,108.359,57,4,66,78,53
389,108.606,57,4,66,78,53
390,108.852,57,4,65,78,53
391,109.098,56,4,65,78,53
392,109.344,56,4,65,78,53
393,109.591,56,4,65,78,53
394,109.837,56,4,65,78,53
395,110.083,56,4,65,78,53
396,110.331,56,4,65,78,53
397,110.577,56,4,65,78,53
398,110.823,56,4,65,78,53
399,111.069,56,4,65,78,53
400,111.316,55,4,65,78,53
401,111.562,55,4,65,78,53
402,111.808,55,4,65,78,53
403,112.054,55,4,65,78,53
404,112.301,55,4,65,78,53
405,112.547,55,4,65,78,53
406,112.793,55,4,65,78,53
407,113.039,55,4,65,78,53
408,113.286,55,4,65,78,53
409,113.532,55,4,65,78,53
410,113.778,55,4,65,78,53
411,114.024,55,4,65,78,53
412,114.271,55,4,65,78,53
